region,bucket,count,percent
A1,Unique (1),54,54.0
A1,Shared 2-3,28,28.0
A1,Shared 4-6,9,9.0
A1,Shared 7-10,0,0.0
A1,Shared 11-20,0,0.0
A1,Shared 21-35,0,0.0
A1,Shared 36+,0,0.0
A1,Asymmetric,2,2.0
A1,Partial-ambiguous,6,6.0
A1,P,0,0.0
A1,N,1,1.0
A1,Empty,0,0.0
A2,Unique (1),17,17.0
A2,Shared 2-3,30,30.0
A2,Shared 4-6,29,29.0
A2,Shared 7-10,7,7.0
A2,Shared 11-20,0,0.0
A2,Shared 21-35,0,0.0
A2,Shared 36+,0,0.0
A2,Asymmetric,3,3.0
A2,Partial-ambiguous,7,7.0
A2,P,0,0.0
A2,N,7,7.0
A2,Empty,0,0.0
B3,Unique (1),2,2.0
B3,Shared 2-3,8,8.0
B3,Shared 4-6,4,4.0
B3,Shared 7-10,8,8.0
B3,Shared 11-20,11,11.0
B3,Shared 21-35,0,0.0
B3,Shared 36+,0,0.0
B3,Asymmetric,1,1.0
B3,Partial-ambiguous,33,33.0
B3,P,4,4.0
B3,N,29,29.0
B3,Empty,0,0.0
B4,Unique (1),2,2.0
B4,Shared 2-3,3,3.0
B4,Shared 4-6,10,10.0
B4,Shared 7-10,33,33.0
B4,Shared 11-20,11,11.0
B4,Shared 21-35,0,0.0
B4,Shared 36+,0,0.0
B4,Asymmetric,3,3.0
B4,Partial-ambiguous,9,9.0
B4,P,9,9.0
B4,N,20,20.0
B4,Empty,0,0.0
B5,Unique (1),3,3.0
B5,Shared 2-3,3,3.0
B5,Shared 4-6,13,13.0
B5,Shared 7-10,8,8.0
B5,Shared 11-20,30,30.0
B5,Shared 21-35,0,0.0
B5,Shared 36+,0,0.0
B5,Asymmetric,3,3.0
B5,Partial-ambiguous,11,11.0
B5,P,4,4.0
B5,N,25,25.0
B5,Empty,0,0.0
C6,Unique (1),26,26.0
C6,Shared 2-3,19,19.0
C6,Shared 4-6,27,27.0
C6,Shared 7-10,17,17.0
C6,Shared 11-20,0,0.0
C6,Shared 21-35,0,0.0
C6,Shared 36+,0,0.0
C6,Asymmetric,0,0.0
C6,Partial-ambiguous,6,6.0
C6,P,1,1.0
C6,N,4,4.0
C6,Empty,0,0.0
C7,Unique (1),1,1.0
C7,Shared 2-3,3,3.0
C7,Shared 4-6,6,6.0
C7,Shared 7-10,10,10.0
C7,Shared 11-20,31,31.0
C7,Shared 21-35,29,29.0
C7,Shared 36+,0,0.0
C7,Asymmetric,0,0.0
C7,Partial-ambiguous,1,1.0
C7,P,5,5.0
C7,N,14,14.0
C7,Empty,0,0.0
D8,Unique (1),9,9.0
D8,Shared 2-3,12,12.0
D8,Shared 4-6,14,14.0
D8,Shared 7-10,0,0.0
D8,Shared 11-20,20,20.0
D8,Shared 21-35,0,0.0
D8,Shared 36+,0,0.0
D8,Asymmetric,0,0.0
D8,Partial-ambiguous,36,36.0
D8,P,2,2.0
D8,N,7,7.0
D8,Empty,0,0.0
D9,Unique (1),0,0.0
D9,Shared 2-3,0,0.0
D9,Shared 4-6,6,6.0
D9,Shared 7-10,0,0.0
D9,Shared 11-20,12,12.0
D9,Shared 21-35,21,21.0
D9,Shared 36+,41,41.0
D9,Asymmetric,0,0.0
D9,Partial-ambiguous,0,0.0
D9,P,2,2.0
D9,N,18,18.0
D9,Empty,0,0.0
